,Age,Gender,Degree of Edu,Income,Health Condition,Outdoor Activity Engaged,Outdoor Activity Eliminated(Days),Air Index (Activity Reduced),Air Index(Activity Eliminated)
18,46,Male,Associates degree,No Response,Excellent,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
19,33,Female,Associates degree,"$100,000 or more",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
20,59,Male,Associates degree,"Upto to $74,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
21,28,Female,Associates degree,"Upto to $49,999",Good,Once per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
22,22,Male,College,"$25,000 or less",Good,Once per week,2,Red – Unhealthy,Maroon – Hazardous
23,60,Male,Associates degree,"$100,000 or more",Good,Daily,3,Red – Unhealthy,Purple – Very Unhealthy
24,25,Male,College,"Upto to $49,999",Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
25,29,Male,College,"Upto to $49,999",Fair,No Response,3,Not familiar,Not familiar
26,57,Female,Associates degree,"Upto to $74,999",Excellent,A few times per week,2,Not familiar,Not familiar
27,24,Female,High school,"$25,000 or less",Good,A few times per week,2,Purple – Very Unhealthy,Maroon – Hazardous
28,42,Male,College,"Upto to $49,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
29,61,Female,College,"$100,000 or more",Excellent,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
30,43,Male,Associates degree,"Upto to $74,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
31,28,Male,College,"Upto to $49,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
32,55,Male,College,"Upto to $49,999",Fair,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
33,61,Male,College,"$100,000 or more",Good,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
34,41,Male,Associates degree,"Upto to $74,999",Fair,Common,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
35,33,Male,College,"Upto to $49,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
36,26,Female,College,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
37,31,Male,College,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
38,53,Male,Associates degree,"$100,000 or more",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
39,42,Male,Associates degree,"$25,000 or less",Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
40,33,Male,College,"Upto to $99,999",Good,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
41,43,Male,Associates degree,No Response,Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
42,44,Female,College,"Upto to $99,999",Excellent,Common,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
43,64,Male,Associates degree,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
44,37,Female,Associates degree,"$100,000 or more",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
45,28,Male,College,"Upto to $49,999",Good,No Response,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
46,42,Male,College,"$100,000 or more",Excellent,A few times per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
47,31,Male,College,"$100,000 or more",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
48,54,Male,College,No Response,Excellent,No Response,5,Not familiar,Not familiar
49,46,Male,Associates degree,"$100,000 or more",Fair,Daily,5,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
50,25,Male,College,"$100,000 or more",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
51,33,Female,Associates degree,"Upto to $74,999",Excellent,A few times per week,5,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
52,42,Female,College,"Upto to $99,999",Fair,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
53,36,Male,Associates degree,"Upto to $99,999",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
54,18,Male,8th grade or less,"Upto to $74,999",Good,No Response,1,Red – Unhealthy,Red – Unhealthy
55,57,Male,College,"Upto to $49,999",Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
56,61,Male,College,"Upto to $74,999",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
57,39,Male,College,"Upto to $49,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
58,24,Male,College,"Upto to $49,999",Excellent,A few times per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
59,21,Male,High school,"$25,000 or less",Excellent,Common,1,Not familiar,Not familiar
60,18,Female,8th grade or less,"$25,000 or less",Excellent,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
61,20,Male,High school,"$100,000 or more",Good,Daily,5,Red – Unhealthy,Red – Unhealthy
62,20,Male,High school,"Upto to $74,999",Excellent,No Response,1,Maroon – Hazardous,Maroon – Hazardous
63,36,Male,College,"$100,000 or more",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
64,56,Male,Associates degree,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Red – Unhealthy
65,52,Male,Associates degree,"$100,000 or more",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
66,25,Male,College,"Upto to $74,999",Excellent,No Response,1,Purple – Very Unhealthy,Purple – Very Unhealthy
67,55,Male,College,"$100,000 or more",Good,A few times per week,6,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
68,19,Female,8th grade or less,"Upto to $74,999",Good,Daily,1,Maroon – Hazardous,Maroon – Hazardous
69,52,Male,College,"$100,000 or more",Good,Once per week,1,Red – Unhealthy,Purple – Very Unhealthy
70,51,Male,College,"Upto to $99,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
71,56,Male,College,"$100,000 or more",Excellent,Daily,3,Red – Unhealthy,Purple – Very Unhealthy
72,53,Male,College,"Upto to $49,999",Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
73,34,Male,College,"Upto to $49,999",Poor,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
74,46,Female,College,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
75,21,Male,College,"Upto to $49,999",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
76,31,Female,College,"Upto to $49,999",Good,No Response,2,Red – Unhealthy,Purple – Very Unhealthy
77,61,Female,College,"Upto to $99,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
78,60,Male,Associates degree,"Upto to $99,999",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
79,42,Male,College,"Upto to $49,999",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
80,32,Male,College,"Upto to $74,999",Excellent,A few times per week,5,Red – Unhealthy,Red – Unhealthy
81,62,Male,College,"Upto to $74,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
82,18,Male,8th grade or less,"Upto to $49,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
83,23,Female,High school,"$25,000 or less",Excellent,Once per week,6,Red – Unhealthy,Purple – Very Unhealthy
84,50,Others,Associates degree,"$100,000 or more",Excellent,once per month,6,No Response,No Response
85,65,Male,College,"Upto to $74,999",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
86,28,Male,College,"$100,000 or more",Good,A few times per week,2,Purple – Very Unhealthy,Purple – Very Unhealthy
87,62,Female,College,"Upto to $74,999",Excellent,A few times per week,No Response,Maroon – Hazardous,Maroon – Hazardous
88,18,Male,8th grade or less,"Upto to $49,999",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
89,19,Male,8th grade or less,"Upto to $99,999",Excellent,No Response,4,Red – Unhealthy,Purple – Very Unhealthy
90,61,Female,Associates degree,"$100,000 or more",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
91,52,Female,College,"Upto to $74,999",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
164,21,Male,High school,"$25,000 or less",Excellent,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
165,59,Male,Associates degree,"$100,000 or more",Good,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
166,58,Female,Associates degree,No Response,Good,Daily,6,Yellow – Moderate,Yellow – Moderate
167,26,Male,College,"Upto to $49,999",Excellent,Once per week,3,Red – Unhealthy,Purple – Very Unhealthy
168,40,Male,College,"Upto to $49,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
169,20,Male,High school,"$25,000 or less",Good,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
170,40,Male,College,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
171,31,Male,High school graduate,"Upto to $74,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
172,49,Female,Associates degree,"Upto to $99,999",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
173,36,Male,Associates degree,"$100,000 or more",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
174,57,Male,College,"$25,000 or less",Good,No Response,5,Yellow – Moderate,Yellow – Moderate
175,24,Male,College,"Upto to $74,999",Good,No Response,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
176,25,Male,College,"Upto to $49,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
177,39,Female,Associates degree,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
178,18,Male,8th grade or less,"Upto to $74,999",Good,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
179,22,Male,High school,"$25,000 or less",Excellent,Daily,2,Red – Unhealthy,Red – Unhealthy
180,26,Male,College,"Upto to $74,999",Good,Once per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
181,39,Male,College,"$100,000 or more",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
182,25,Male,College,"Upto to $74,999",Good,Common,1,Red – Unhealthy,Purple – Very Unhealthy
183,60,Male,College,"Upto to $74,999",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
184,28,Male,High school,"Upto to $49,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
185,45,Male,Associates degree,"Upto to $99,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
186,20,Male,High school,"$25,000 or less",Excellent,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
187,31,Female,8th grade or less,"Upto to $99,999",Good,Once per week,2,Purple – Very Unhealthy,Purple – Very Unhealthy
188,58,Male,College,"$100,000 or more",Good,Daily,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
189,31,Male,College,"$100,000 or more",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
190,51,Male,Associates degree,"Upto to $99,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
191,36,Female,Associates degree,"$100,000 or more",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
192,18,Female,8th grade or less,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
193,61,Female,Associates degree,"$100,000 or more",Good,No Response,1,Purple – Very Unhealthy,Purple – Very Unhealthy
194,55,Male,College,No Response,Good,Common,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
195,22,Female,High school,"$25,000 or less",Excellent,Once per week,1,Purple – Very Unhealthy,Maroon – Hazardous
196,42,Male,College,"Upto to $74,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
197,18,Male,8th grade or less,"Upto to $49,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
198,52,Male,College,"Upto to $74,999",Fair,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
199,21,Male,High school,"Upto to $49,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
200,22,Male,High school graduate,"Upto to $49,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
201,46,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
202,18,Male,8th grade or less,"Upto to $74,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
203,34,Male,College,"Upto to $49,999",Good,A few times per week,5,Red – Unhealthy,Purple – Very Unhealthy
204,19,Female,8th grade or less,"Upto to $74,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
205,20,Male,High school,"$25,000 or less",Good,No Response,1,Purple – Very Unhealthy,Purple – Very Unhealthy
206,18,Male,8th grade or less,"Upto to $74,999",Fair,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
207,29,Male,College,"Upto to $49,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
208,49,Female,College,"Upto to $99,999",Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
209,19,Female,8th grade or less,"$25,000 or less",Good,Daily,3,Purple – Very Unhealthy,Red – Unhealthy
210,30,Female,Associates degree,"Upto to $99,999",Excellent,Common,2,Red – Unhealthy,Purple – Very Unhealthy
211,65,Female,College,"Upto to $99,999",Good,Daily,2,Red – Unhealthy,Maroon – Hazardous
212,53,Male,College,"$100,000 or more",Good,Common,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
213,46,Male,College,"Upto to $74,999",Good,No Response,1,Maroon – Hazardous,Maroon – Hazardous
214,20,Female,High school,"Upto to $74,999",Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
215,44,Male,College,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
216,48,Male,College,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
217,49,Female,Associates degree,"Upto to $99,999",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
218,33,Female,College,"$100,000 or more",Good,No Response,4,Red – Unhealthy,Purple – Very Unhealthy
219,49,Male,College,"$100,000 or more",Good,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
220,24,Male,College,"Upto to $74,999",Excellent,A few times per week,4,Red – Unhealthy,Purple – Very Unhealthy
221,24,Male,High school graduate,"Upto to $74,999",Good,No Response,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
222,19,Female,8th grade or less,"$100,000 or more",Excellent,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
223,54,Male,College,"$100,000 or more",Good,No Response,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
224,45,Male,College,"Upto to $49,999",Good,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
225,29,Male,College,"Upto to $74,999",Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
226,27,Female,High school graduate,"$25,000 or less",Good,No Response,1,Red – Unhealthy,Maroon – Hazardous
227,62,Female,College,"Upto to $74,999",Good,Common,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
228,19,Male,8th grade or less,"Upto to $49,999",Fair,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
229,59,Male,Associates degree,"$100,000 or more",Excellent,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
230,39,Male,College,"Upto to $49,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
231,20,Male,High school,"$100,000 or more",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
232,58,Male,College,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
233,31,Male,College,"Upto to $99,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
234,22,Female,High school,"$25,000 or less",Excellent,Daily,6,Red – Unhealthy,Red – Unhealthy
236,44,Male,Associates degree,"Upto to $74,999",Excellent,Daily,4,Red – Unhealthy,Purple – Very Unhealthy
237,58,Male,College,"Upto to $99,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
238,46,Male,College,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Red – Unhealthy
239,28,Female,College,"Upto to $49,999",Good,No Response,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
240,29,Male,College,"Upto to $49,999",Good,Once per week,3,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
241,39,Male,College,"Upto to $74,999",Good,A few times per week,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
242,19,Male,8th grade or less,"Upto to $74,999",Excellent,No Response,2,Red – Unhealthy,Purple – Very Unhealthy
243,19,Male,8th grade or less,"$25,000 or less",Good,No Response,1,Yellow – Moderate,Red – Unhealthy
244,38,Male,8th grade or less,"Upto to $74,999",Excellent,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
245,47,Female,College,"$100,000 or more",Good,Once per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
246,25,Male,College,"Upto to $74,999",Good,No Response,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
247,20,Female,High school,"$100,000 or more",Excellent,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
248,19,Male,8th grade or less,"$25,000 or less",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
249,42,Male,College,"Upto to $74,999",Fair,Common,1,Not familiar,Not familiar
250,19,Female,8th grade or less,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
251,37,Female,College,"Upto to $99,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
252,28,Female,College,"Upto to $74,999",Good,Daily,2,Red – Unhealthy,Red – Unhealthy
253,26,Male,College,"$100,000 or more",Fair,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
254,29,Female,College,"$100,000 or more",Excellent,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
255,41,Male,College,"Upto to $49,999",Excellent,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
256,18,Female,8th grade or less,"Upto to $74,999",Good,A few times per week,1,Not familiar,Not familiar
257,42,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
258,31,Male,Associates degree,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
259,57,Female,College,"Upto to $74,999",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
260,60,Female,Associates degree,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Red – Unhealthy
261,24,Male,College,"$25,000 or less",Good,Once per week,2,Red – Unhealthy,Purple – Very Unhealthy
262,19,Male,8th grade or less,"Upto to $99,999",Excellent,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
263,18,Female,8th grade or less,"Upto to $74,999",Good,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
264,52,Female,Associates degree,"$100,000 or more",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
265,38,Female,College,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
266,57,Male,College,"Upto to $49,999",Fair,A few times per week,6,Yellow – Moderate,Yellow – Moderate
267,67,Female,College,"$100,000 or more",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
268,21,Female,High school,"$100,000 or more",Good,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
269,57,Male,College,No Response,Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
270,42,Male,College,No Response,Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
271,18,Male,8th grade or less,"Upto to $99,999",Excellent,Daily,1,Red – Unhealthy,Red – Unhealthy
272,45,Female,College,"$100,000 or more",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
273,52,Female,Associates degree,"Upto to $99,999",Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
274,19,Male,8th grade or less,"$100,000 or more",Good,A few times per week,2,Maroon – Hazardous,Purple – Very Unhealthy
275,21,Male,High school,"$100,000 or more",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
276,48,Male,High school,"$25,000 or less",Excellent,Daily,4,Red – Unhealthy,Red – Unhealthy
277,21,Male,High school,"Upto to $49,999",Good,No Response,3,Red – Unhealthy,Purple – Very Unhealthy
278,26,Male,College,"Upto to $49,999",Good,A few times per week,5,Red – Unhealthy,Purple – Very Unhealthy
279,28,Male,College,"Upto to $49,999",Good,A few times per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
280,27,Female,Associates degree,"Upto to $74,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
281,18,Female,8th grade or less,No Response,Fair,Common,1,Purple – Very Unhealthy,Maroon – Hazardous
282,60,Female,College,"Upto to $99,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
283,22,Male,High school,"$100,000 or more",Good,A few times per week,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
284,54,Male,High school graduate,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
285,34,Male,College,"$100,000 or more",Excellent,Daily,3,Red – Unhealthy,Red – Unhealthy
286,53,Female,Associates degree,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
287,67,Female,College,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
288,43,Male,Associates degree,"$100,000 or more",Excellent,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
289,44,Male,College,"$100,000 or more",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
290,60,Male,Associates degree,"$100,000 or more",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
291,40,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,3,Red – Unhealthy,Red – Unhealthy
292,25,Male,College,"Upto to $99,999",Good,Once per week,1,Red – Unhealthy,Red – Unhealthy
293,53,Male,College,"Upto to $99,999",Good,Daily,2,Red – Unhealthy,Red – Unhealthy
294,21,Male,High school,"Upto to $74,999",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
295,4,Male,College,"Upto to $99,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
296,52,Male,College,"Upto to $49,999",Excellent,Daily,3,Red – Unhealthy,Yellow – Moderate
297,50,Female,College,"Upto to $74,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate
298,39,Female,No Response,"$100,000 or more",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
299,47,Male,Associates degree,"Upto to $99,999",Good,Common,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
300,29,Male,High school,"$25,000 or less",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
302,42,Male,High school,"$100,000 or more",Good,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
303,46,Male,High school graduate,"Upto to $49,999",Excellent,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
304,34,Male,College,"Upto to $74,999",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
305,65,Female,Associates degree,"Upto to $99,999",Good,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
306,33,Female,Associates degree,"Upto to $99,999",Good,Daily,3,Yellow – Moderate,Red – Unhealthy
307,33,Female,College,"Upto to $74,999",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
308,65,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
309,31,Male,College,"$100,000 or more",Good,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
310,33,Female,College,"Upto to $49,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
311,62,Male,College,"$100,000 or more",Excellent,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
312,43,Female,Associates degree,"$100,000 or more",Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
313,44,Female,College,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Maroon – Hazardous
314,33,Male,College,"Upto to $49,999",Fair,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
